1	chr1
QNVO02000250.1	chr19_NW_021160370v1_random
QNVO02002167.1	chrUn_NW_021162021v1
QNVO02002168.1	chrUn_NW_021162022v1
QNVO02002171.1	chrUn_NW_021162025v1
QNVO02002166.1	chrUn_NW_021162020v1
QNVO02002162.1	chrUn_NW_021162016v1
QNVO02002165.1	chrUn_NW_021162019v1
QNVO02000050.1	chr10_NW_021160252v1_random
QNVO02000152.1	chr15_NW_021160312v1_random
QNVO02002163.1	chrUn_NW_021162017v1
QNVO02002160.1	chrUn_NW_021162014v1
QNVO02002159.1	chrUn_NW_021162013v1
QNVO02002153.1	chrUn_NW_021162007v1
QNVO02002128.1	chrUn_NW_021161982v1
QNVO02002208.1	chrUn_NW_021162062v1
QNVO02002182.1	chrUn_NW_021162036v1
QNVO02002156.1	chrUn_NW_021162010v1
QNVO02002157.1	chrUn_NW_021162011v1
QNVO02002155.1	chrUn_NW_021162009v1
QNVO02000073.1	chr11_NW_021160267v1_random
QNVO02002151.1	chrUn_NW_021162005v1
QNVO02000303.1	chr2_NW_021160121v1_random
QNVO02002152.1	chrUn_NW_021162006v1
QNVO02002129.1	chrUn_NW_021161983v1
QNVO02002142.1	chrUn_NW_021161996v1
QNVO02002146.1	chrUn_NW_021162000v1
QNVO02000361.1	chr4_NW_021160159v1_random
QNVO02002039.1	chrUn_NW_021161893v1
QNVO02000515.1	chr9_NW_021160237v1_random
QNVO02002141.1	chrUn_NW_021161995v1
QNVO02002161.1	chrUn_NW_021162015v1
QNVO02002147.1	chrUn_NW_021162001v1
QNVO02002139.1	chrUn_NW_021161993v1
QNVO02002140.1	chrUn_NW_021161994v1
QNVO02000049.1	chr10_NW_021160251v1_random
QNVO02002143.1	chrUn_NW_021161997v1
QNVO02000439.1	chr7_NW_021160206v1_random
QNVO02000471.1	chr8_NW_021160223v1_random
QNVO02002178.1	chrUn_NW_021162032v1
QNVO02002137.1	chrUn_NW_021161991v1
QNVO02000404.1	chr6_NW_021160188v1_random
QNVO02002136.1	chrUn_NW_021161990v1
QNVO02000125.1	chr14_NW_021160295v1_random
QNVO02000274.1	chr1_NW_021160109v1_random
QNVO02002133.1	chrUn_NW_021161987v1
QNVO02002132.1	chrUn_NW_021161986v1
QNVO02002131.1	chrUn_NW_021161985v1
QNVO02002123.1	chrUn_NW_021161977v1
QNVO02000249.1	chr19_NW_021160369v1_random
QNVO02002125.1	chrUn_NW_021161979v1
QNVO02002124.1	chrUn_NW_021161978v1
QNVO02002120.1	chrUn_NW_021161974v1
QNVO02002148.1	chrUn_NW_021162002v1
QNVO02002121.1	chrUn_NW_021161975v1
QNVO02002118.1	chrUn_NW_021161972v1
QNVO02002186.1	chrUn_NW_021162040v1
QNVO02002116.1	chrUn_NW_021161970v1
QNVO02002108.1	chrUn_NW_021161962v1
QNVO02000124.1	chr14_NW_021160294v1_random
QNVO02003178.1	chrX_NW_021160384v1_random
QNVO02002187.1	chrUn_NW_021162041v1
QNVO02002112.1	chrUn_NW_021161966v1
QNVO02002115.1	chrUn_NW_021161969v1
QNVO02002114.1	chrUn_NW_021161968v1
QNVO02002144.1	chrUn_NW_021161998v1
QNVO02002110.1	chrUn_NW_021161964v1
QNVO02002111.1	chrUn_NW_021161965v1
QNVO02000248.1	chr19_NW_021160368v1_random
QNVO02002119.1	chrUn_NW_021161973v1
QNVO02000151.1	chr15_NW_021160311v1_random
QNVO02002104.1	chrUn_NW_021161958v1
QNVO02002103.1	chrUn_NW_021161957v1
QNVO02002191.1	chrUn_NW_021162045v1
QNVO02002107.1	chrUn_NW_021161961v1
QNVO02002134.1	chrUn_NW_021161988v1
QNVO02000514.1	chr9_NW_021160236v1_random
QNVO02002099.1	chrUn_NW_021161953v1
QNVO02002101.1	chrUn_NW_021161955v1
QNVO02002135.1	chrUn_NW_021161989v1
QNVO02002096.1	chrUn_NW_021161950v1
QNVO02002100.1	chrUn_NW_021161954v1
QNVO02002095.1	chrUn_NW_021161949v1
QNVO02002098.1	chrUn_NW_021161952v1
QNVO02002091.1	chrUn_NW_021161945v1
QNVO02000403.1	chr6_NW_021160187v1_random
QNVO02000247.1	chr19_NW_021160367v1_random
QNVO02000470.1	chr8_NW_021160222v1_random
QNVO02002102.1	chrUn_NW_021161956v1
QNVO02002089.1	chrUn_NW_021161943v1
QNVO02000222.1	chr18_NW_021160356v1_random
QNVO02002086.1	chrUn_NW_021161940v1
QNVO02002127.1	chrUn_NW_021161981v1
QNVO02002084.1	chrUn_NW_021161938v1
QNVO02002149.1	chrUn_NW_021162003v1
QNVO02002085.1	chrUn_NW_021161939v1
QNVO02000047.1	chr10_NW_021160249v1_random
QNVO02002106.1	chrUn_NW_021161960v1
QNVO02002077.1	chrUn_NW_021161931v1
QNVO02002092.1	chrUn_NW_021161946v1
QNVO02002083.1	chrUn_NW_021161937v1
QNVO02002090.1	chrUn_NW_021161944v1
QNVO02000360.1	chr4_NW_021160158v1_random
QNVO02002080.1	chrUn_NW_021161934v1
QNVO02002081.1	chrUn_NW_021161935v1
QNVO02000072.1	chr11_NW_021160266v1_random
QNVO02002074.1	chrUn_NW_021161928v1
QNVO02002073.1	chrUn_NW_021161927v1
QNVO02002076.1	chrUn_NW_021161930v1
QNVO02002109.1	chrUn_NW_021161963v1
QNVO02000046.1	chr10_NW_021160248v1_random
QNVO02002079.1	chrUn_NW_021161933v1
QNVO02002075.1	chrUn_NW_021161929v1
QNVO02002038.1	chrUn_NW_021161892v1
QNVO02002072.1	chrUn_NW_021161926v1
QNVO02001916.1	chrUn_NW_021161772v1
QNVO02002070.1	chrUn_NW_021161924v1
QNVO02002066.1	chrUn_NW_021161920v1
QNVO02002062.1	chrUn_NW_021161916v1
QNVO02002064.1	chrUn_NW_021161918v1
QNVO02000438.1	chr7_NW_021160205v1_random
QNVO02002067.1	chrUn_NW_021161921v1
QNVO02000437.1	chr7_NW_021160204v1_random
QNVO02002060.1	chrUn_NW_021161914v1
QNVO02002058.1	chrUn_NW_021161912v1
QNVO02002063.1	chrUn_NW_021161917v1
QNVO02000328.1	chr3_NW_021160138v1_random
QNVO02002065.1	chrUn_NW_021161919v1
QNVO02002059.1	chrUn_NW_021161913v1
QNVO02002054.1	chrUn_NW_021161908v1
QNVO02002057.1	chrUn_NW_021161911v1
QNVO02000436.1	chr7_NW_021160203v1_random
QNVO02002068.1	chrUn_NW_021161922v1
QNVO02002056.1	chrUn_NW_021161910v1
QNVO02002055.1	chrUn_NW_021161909v1
QNVO02002397.1	chrUn_NW_021162251v1
QNVO02002049.1	chrUn_NW_021161903v1
QNVO02000246.1	chr19_NW_021160366v1_random
QNVO02000469.1	chr8_NW_021160221v1_random
QNVO02002050.1	chrUn_NW_021161904v1
QNVO02002042.1	chrUn_NW_021161896v1
QNVO02000327.1	chr3_NW_021160137v1_random
QNVO02002047.1	chrUn_NW_021161901v1
QNVO02002053.1	chrUn_NW_021161907v1
QNVO02000071.1	chr11_NW_021160265v1_random
QNVO02002046.1	chrUn_NW_021161900v1
QNVO02001985.1	chrUn_NW_021161841v1
QNVO02002040.1	chrUn_NW_021161894v1
QNVO02002043.1	chrUn_NW_021161897v1
QNVO02002041.1	chrUn_NW_021161895v1
QNVO02002034.1	chrUn_NW_021161888v1
QNVO02002037.1	chrUn_NW_021161891v1
QNVO02002031.1	chrUn_NW_021161885v1
QNVO02003177.1	chrX_NW_021160383v1_random
QNVO02002032.1	chrUn_NW_021161886v1
QNVO02000382.1	chr5_NW_021160173v1_random
QNVO02002033.1	chrUn_NW_021161887v1
QNVO02002036.1	chrUn_NW_021161890v1
QNVO02002029.1	chrUn_NW_021161883v1
QNVO02002022.1	chrUn_NW_021161876v1
QNVO02000954.1	chrUn_NW_021160815v1
QNVO02002024.1	chrUn_NW_021161878v1
QNVO02002117.1	chrUn_NW_021161971v1
QNVO02000074.1	chr11_NW_021160268v1_random
QNVO02002030.1	chrUn_NW_021161884v1
QNVO02002025.1	chrUn_NW_021161879v1
QNVO02002016.1	chrUn_NW_021161870v1
QNVO02002021.1	chrUn_NW_021161875v1
QNVO02002011.1	chrUn_NW_021161865v1
QNVO02002010.1	chrUn_NW_021161864v1
QNVO02002012.1	chrUn_NW_021161866v1
QNVO02002013.1	chrUn_NW_021161867v1
QNVO02002052.1	chrUn_NW_021161906v1
QNVO02002018.1	chrUn_NW_021161872v1
QNVO02002014.1	chrUn_NW_021161868v1
QNVO02002045.1	chrUn_NW_021161899v1
QNVO02000468.1	chr8_NW_021160220v1_random
QNVO02000513.1	chr9_NW_021160235v1_random
QNVO02002009.1	chrUn_NW_021161863v1
QNVO02002004.1	chrUn_NW_021161858v1
QNVO02002000.1	chrUn_NW_021161854v1
QNVO02002020.1	chrUn_NW_021161874v1
QNVO02000245.1	chr19_NW_021160365v1_random
QNVO02002019.1	chrUn_NW_021161873v1
QNVO02002003.1	chrUn_NW_021161857v1
QNVO02002001.1	chrUn_NW_021161855v1
QNVO02001998.1	chrUn_NW_021161852v1
QNVO02002008.1	chrUn_NW_021161862v1
QNVO02000099.1	chr13_NW_021160279v1_random
QNVO02001999.1	chrUn_NW_021161853v1
QNVO02000178.1	chr16_NW_021160327v1_random
QNVO02000279.1	chr1_NW_021160114v1_random
QNVO02002005.1	chrUn_NW_021161859v1
QNVO02000512.1	chr9_NW_021160234v1_random
QNVO02001978.1	chrUn_NW_021161834v1
QNVO02000435.1	chr7_NW_021160202v1_random
QNVO02002007.1	chrUn_NW_021161861v1
QNVO02001989.1	chrUn_NW_021161845v1
QNVO02001954.1	chrUn_NW_021161810v1
QNVO02001991.1	chrUn_NW_021161847v1
QNVO02001984.1	chrUn_NW_021161840v1
QNVO02001986.1	chrUn_NW_021161842v1
QNVO02000070.1	chr11_NW_021160264v1_random
QNVO02000176.1	chr16_NW_021160325v1_random
QNVO02000177.1	chr16_NW_021160326v1_random
QNVO02001987.1	chrUn_NW_021161843v1
QNVO02002002.1	chrUn_NW_021161856v1
QNVO02001997.1	chrUn_NW_021161851v1
QNVO02002048.1	chrUn_NW_021161902v1
QNVO02000511.1	chr9_NW_021160233v1_random
QNVO02001990.1	chrUn_NW_021161846v1
QNVO02000402.1	chr6_NW_021160186v1_random
QNVO02000296.1	chr20_NW_021160380v1_random
QNVO02001980.1	chrUn_NW_021161836v1
QNVO02000048.1	chr10_NW_021160250v1_random
QNVO02001982.1	chrUn_NW_021161838v1
QNVO02001983.1	chrUn_NW_021161839v1
QNVO02000855.1	chrUn_NW_021160716v1
QNVO02001977.1	chrUn_NW_021161833v1
QNVO02001970.1	chrUn_NW_021161826v1
QNVO02001930.1	chrUn_NW_021161786v1
QNVO02000175.1	chr16_NW_021160324v1_random
QNVO02001973.1	chrUn_NW_021161829v1
QNVO02001965.1	chrUn_NW_021161821v1
QNVO02001972.1	chrUn_NW_021161828v1
QNVO02001976.1	chrUn_NW_021161832v1
QNVO02000179.1	chr16_NW_021160328v1_random
QNVO02001966.1	chrUn_NW_021161822v1
QNVO02001969.1	chrUn_NW_021161825v1
QNVO02001964.1	chrUn_NW_021161820v1
QNVO02001963.1	chrUn_NW_021161819v1
QNVO02001968.1	chrUn_NW_021161824v1
QNVO02001960.1	chrUn_NW_021161816v1
QNVO02000130.1	chr14_NW_021160300v1_random
QNVO02001788.1	chrUn_NW_021161644v1
QNVO02000401.1	chr6_NW_021160185v1_random
QNVO02000209.1	chr17_NW_021160346v1_random
QNVO02000244.1	chr19_NW_021160364v1_random
QNVO02000208.1	chr17_NW_021160345v1_random
QNVO02001951.1	chrUn_NW_021161807v1
QNVO02001992.1	chrUn_NW_021161848v1
QNVO02000434.1	chr7_NW_021160201v1_random
QNVO02001943.1	chrUn_NW_021161799v1
QNVO02000400.1	chr6_NW_021160184v1_random
QNVO02001959.1	chrUn_NW_021161815v1
QNVO02001945.1	chrUn_NW_021161801v1
QNVO02001949.1	chrUn_NW_021161805v1
QNVO02001947.1	chrUn_NW_021161803v1
QNVO02001979.1	chrUn_NW_021161835v1
QNVO02000243.1	chr19_NW_021160363v1_random
QNVO02001958.1	chrUn_NW_021161814v1
QNVO02001941.1	chrUn_NW_021161797v1
QNVO02001938.1	chrUn_NW_021161794v1
QNVO02001953.1	chrUn_NW_021161809v1
QNVO02001940.1	chrUn_NW_021161796v1
QNVO02001934.1	chrUn_NW_021161790v1
QNVO02001944.1	chrUn_NW_021161800v1
QNVO02001939.1	chrUn_NW_021161795v1
QNVO02002303.1	chrUn_NW_021162157v1
QNVO02002027.1	chrUn_NW_021161881v1
QNVO02002093.1	chrUn_NW_021161947v1
QNVO02001932.1	chrUn_NW_021161788v1
QNVO02001927.1	chrUn_NW_021161783v1
QNVO02000359.1	chr4_NW_021160157v1_random
QNVO02001929.1	chrUn_NW_021161785v1
QNVO02000273.1	chr1_NW_021160108v1_random
QNVO02000467.1	chr8_NW_021160219v1_random
QNVO02001937.1	chrUn_NW_021161793v1
QNVO02000326.1	chr3_NW_021160136v1_random
QNVO02001956.1	chrUn_NW_021161812v1
QNVO02001806.1	chrUn_NW_021161662v1
QNVO02001936.1	chrUn_NW_021161792v1
QNVO02001924.1	chrUn_NW_021161780v1
QNVO02001926.1	chrUn_NW_021161782v1
QNVO02001921.1	chrUn_NW_021161777v1
QNVO02000207.1	chr17_NW_021160344v1_random
QNVO02000433.1	chr7_NW_021160200v1_random
QNVO02001923.1	chrUn_NW_021161779v1
QNVO02001952.1	chrUn_NW_021161808v1
QNVO02000150.1	chr15_NW_021160310v1_random
QNVO02001909.1	chrUn_NW_021161765v1
QNVO02000253.1	chr19_NW_021160373v1_random
QNVO02001975.1	chrUn_NW_021161831v1
QNVO02001914.1	chrUn_NW_021161770v1
QNVO02000398.1	chr6_NW_021160182v1_random
QNVO02001962.1	chrUn_NW_021161818v1
QNVO02000399.1	chr6_NW_021160183v1_random
QNVO02001913.1	chrUn_NW_021161769v1
QNVO02002023.1	chrUn_NW_021161877v1
QNVO02001917.1	chrUn_NW_021161773v1
QNVO02001908.1	chrUn_NW_021161764v1
QNVO02001912.1	chrUn_NW_021161768v1
QNVO02002126.1	chrUn_NW_021161980v1
QNVO02000100.1	chr13_NW_021160280v1_random
QNVO02001904.1	chrUn_NW_021161760v1
QNVO02001903.1	chrUn_NW_021161759v1
QNVO02001901.1	chrUn_NW_021161757v1
QNVO02001920.1	chrUn_NW_021161776v1
QNVO02001898.1	chrUn_NW_021161754v1
QNVO02001897.1	chrUn_NW_021161753v1
QNVO02001900.1	chrUn_NW_021161756v1
QNVO02001894.1	chrUn_NW_021161750v1
QNVO02001907.1	chrUn_NW_021161763v1
QNVO02001967.1	chrUn_NW_021161823v1
QNVO02001902.1	chrUn_NW_021161758v1
QNVO02001905.1	chrUn_NW_021161761v1
QNVO02000510.1	chr9_NW_021160232v1_random
QNVO02001892.1	chrUn_NW_021161748v1
QNVO02000551.1	chrUn_NW_021160417v1
QNVO02000381.1	chr5_NW_021160172v1_random
QNVO02001891.1	chrUn_NW_021161747v1
QNVO02001896.1	chrUn_NW_021161752v1
QNVO02001895.1	chrUn_NW_021161751v1
QNVO02000127.1	chr14_NW_021160297v1_random
QNVO02001906.1	chrUn_NW_021161762v1
QNVO02001886.1	chrUn_NW_021161742v1
QNVO02001887.1	chrUn_NW_021161743v1
QNVO02000432.1	chr7_NW_021160199v1_random
QNVO02001884.1	chrUn_NW_021161740v1
QNVO02001881.1	chrUn_NW_021161737v1
QNVO02001882.1	chrUn_NW_021161738v1
QNVO02001863.1	chrUn_NW_021161719v1
QNVO02000098.1	chr13_NW_021160278v1_random
QNVO02000272.1	chr1_NW_021160107v1_random
QNVO02000221.1	chr18_NW_021160355v1_random
QNVO02000271.1	chr1_NW_021160106v1_random
QNVO02001876.1	chrUn_NW_021161732v1
QNVO02001875.1	chrUn_NW_021161731v1
QNVO02001861.1	chrUn_NW_021161717v1
QNVO02001871.1	chrUn_NW_021161727v1
QNVO02001883.1	chrUn_NW_021161739v1
QNVO02001915.1	chrUn_NW_021161771v1
QNVO02001877.1	chrUn_NW_021161733v1
QNVO02003058.1	chrUn_NW_021162912v1
QNVO02001890.1	chrUn_NW_021161746v1
QNVO02000270.1	chr1_NW_021160105v1_random
QNVO02001872.1	chrUn_NW_021161728v1
QNVO02000306.1	chr2_NW_021160124v1_random
QNVO02000325.1	chr3_NW_021160135v1_random
QNVO02001854.1	chrUn_NW_021161710v1
QNVO02000358.1	chr4_NW_021160156v1_random
QNVO02001867.1	chrUn_NW_021161723v1
QNVO02001873.1	chrUn_NW_021161729v1
QNVO02001866.1	chrUn_NW_021161722v1
QNVO02001864.1	chrUn_NW_021161720v1
QNVO02001849.1	chrUn_NW_021161705v1
QNVO02000357.1	chr4_NW_021160155v1_random
QNVO02000509.1	chr9_NW_021160231v1_random
QNVO02001862.1	chrUn_NW_021161718v1
QNVO02001878.1	chrUn_NW_021161734v1
QNVO02001859.1	chrUn_NW_021161715v1
QNVO02000356.1	chr4_NW_021160154v1_random
QNVO02001860.1	chrUn_NW_021161716v1
QNVO02000174.1	chr16_NW_021160323v1_random
